Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_YCrCb_HYBRID_Fusion_00129.png,17.967,0.566,6.639,0.578,0.546,12.868,0.624,9.438,170.264
Pytorch_YCrCb_HYBRID_Fusion_00130.png,17.984,0.565,6.642,0.578,0.545,12.866,0.626,9.437,169.296
Pytorch_YCrCb_HYBRID_Fusion_00131.png,17.776,0.563,6.633,0.577,0.512,12.829,0.624,9.45,163.039
Pytorch_YCrCb_HYBRID_Fusion_00132.png,13.408,0.717,6.164,0.688,-0.218,11.289,0.832,10.266,86.979
Pytorch_YCrCb_HYBRID_Fusion_00133.png,13.442,0.715,6.213,0.688,-0.259,11.325,0.799,10.273,91.046
Pytorch_YCrCb_HYBRID_Fusion_00134.png,14.442,0.541,6.869,0.612,0.626,13.96,0.616,10.166,144.422
Pytorch_YCrCb_HYBRID_Fusion_00135.png,14.455,0.541,6.861,0.611,0.629,13.946,0.613,10.143,143.612
Pytorch_YCrCb_HYBRID_Fusion_00136.png,14.475,0.542,6.858,0.612,0.633,13.941,0.601,10.144,144.151
Pytorch_YCrCb_HYBRID_Fusion_00137.png,14.478,0.542,6.858,0.612,0.632,13.935,0.606,10.15,144.04
Pytorch_YCrCb_HYBRID_Fusion_00138.png,14.388,0.539,6.868,0.613,0.616,13.966,0.615,10.157,143.891
Pytorch_YCrCb_HYBRID_Fusion_00139.png,15.701,0.594,6.889,0.628,0.693,13.697,0.658,9.794,135.595
Pytorch_YCrCb_HYBRID_Fusion_00140.png,15.95,0.633,6.733,0.656,0.588,13.468,0.653,9.926,123.223
Pytorch_YCrCb_HYBRID_Fusion_00141.png,16.284,0.68,6.363,0.723,0.212,12.922,0.632,10.105,97.722
Pytorch_YCrCb_HYBRID_Fusion_00142.png,16.299,0.683,6.295,0.736,0.103,12.766,0.618,10.099,94.251
Pytorch_YCrCb_HYBRID_Fusion_00143.png,16.539,0.781,7.046,0.806,0.588,12.209,0.829,8.992,174.406
Pytorch_YCrCb_HYBRID_Fusion_00144.png,16.524,0.783,7.031,0.81,0.577,12.18,0.854,8.944,175.328
Pytorch_YCrCb_HYBRID_Fusion_00145.png,16.502,0.782,7.024,0.802,0.572,12.17,0.828,8.978,175.628
Pytorch_YCrCb_HYBRID_Fusion_00146.png,16.52,0.781,7.038,0.796,0.584,12.19,0.817,9.002,178.136
Pytorch_YCrCb_HYBRID_Fusion_00147.png,16.459,0.78,7.038,0.799,0.58,12.188,0.833,8.995,176.903
Pytorch_YCrCb_HYBRID_Fusion_00148.png,16.524,0.774,7.065,0.796,0.579,12.221,0.821,9.132,172.625
Pytorch_YCrCb_HYBRID_Fusion_00149.png,15.74,0.549,6.906,0.59,0.453,13.564,0.629,9.795,118.396
Pytorch_YCrCb_HYBRID_Fusion_00150.png,16.124,0.556,6.949,0.591,0.485,13.477,0.614,9.791,120.685
Pytorch_YCrCb_HYBRID_Fusion_00151.png,16.132,0.559,6.939,0.592,0.494,13.463,0.619,9.797,118.866
Pytorch_YCrCb_HYBRID_Fusion_00152.png,16.137,0.558,6.951,0.589,0.491,13.473,0.612,9.797,118.235
Pytorch_YCrCb_HYBRID_Fusion_00153.png,13.375,0.701,5.903,0.7,0.297,11.872,0.785,9.927,117.425
Pytorch_YCrCb_HYBRID_Fusion_00154.png,13.367,0.701,5.894,0.701,0.296,11.87,0.804,9.907,117.488
Pytorch_YCrCb_HYBRID_Fusion_00155.png,13.369,0.702,5.894,0.703,0.295,11.877,0.8,9.924,118.559
Pytorch_YCrCb_HYBRID_Fusion_00156.png,13.414,0.704,5.876,0.706,0.314,11.877,0.8,9.984,118.273
Pytorch_YCrCb_HYBRID_Fusion_00157.png,14.147,0.688,6.234,0.622,0.208,11.969,0.802,10.084,81.507
Pytorch_YCrCb_HYBRID_Fusion_00158.png,14.415,0.681,6.307,0.62,0.209,12.057,0.794,10.108,84.092
Pytorch_YCrCb_HYBRID_Fusion_00159.png,14.72,0.689,6.379,0.616,0.284,12.193,0.824,10.061,81.139
Pytorch_YCrCb_HYBRID_Fusion_00160.png,14.537,0.676,6.348,0.617,0.237,12.178,0.782,10.179,80.444
Pytorch_YCrCb_HYBRID_Fusion_00161.png,14.778,0.688,6.339,0.611,0.306,12.045,0.783,10.046,79.713
Pytorch_YCrCb_HYBRID_Fusion_00162.png,14.695,0.685,6.339,0.61,0.288,12.027,0.775,10.122,81.365
Pytorch_YCrCb_HYBRID_Fusion_00163.png,15.323,0.663,6.491,0.604,0.365,12.752,0.74,10.097,83.677
Pytorch_YCrCb_HYBRID_Fusion_00164.png,15.42,0.671,6.453,0.602,0.366,12.493,0.729,10.193,71.993
Pytorch_YCrCb_HYBRID_Fusion_00165.png,15.911,0.673,6.484,0.599,0.428,12.6,0.733,10.043,74.428
Pytorch_YCrCb_HYBRID_Fusion_00166.png,13.443,0.679,6.57,0.754,-0.06,11.974,0.783,10.04,106.159
Pytorch_YCrCb_HYBRID_Fusion_00167.png,13.468,0.68,6.583,0.753,-0.055,11.964,0.784,10.048,106.567
Pytorch_YCrCb_HYBRID_Fusion_00168.png,13.466,0.678,6.592,0.756,-0.057,11.937,0.789,10.05,106.585
Pytorch_YCrCb_HYBRID_Fusion_00169.png,13.456,0.677,6.601,0.756,-0.058,11.927,0.785,10.039,106.857
Pytorch_YCrCb_HYBRID_Fusion_00170.png,13.371,0.703,6.271,0.74,0.013,11.734,0.815,9.679,109.926
Pytorch_YCrCb_HYBRID_Fusion_00171.png,13.294,0.699,6.276,0.741,0.02,11.692,0.816,9.726,110.581
Pytorch_YCrCb_HYBRID_Fusion_00172.png,13.269,0.699,6.279,0.742,0.021,11.686,0.808,9.689,110.398
Pytorch_YCrCb_HYBRID_Fusion_00173.png,13.269,0.698,6.279,0.743,0.023,11.686,0.802,9.69,110.418
Pytorch_YCrCb_HYBRID_Fusion_00174.png,13.248,0.697,6.281,0.744,0.016,11.681,0.806,9.695,110.407
Pytorch_YCrCb_HYBRID_Fusion_00175.png,16.552,0.75,5.855,0.704,0.511,10.636,0.741,8.259,105.876
Pytorch_YCrCb_HYBRID_Fusion_00176.png,16.46,0.744,5.867,0.702,0.494,10.662,0.761,8.128,100.29
